"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","AL - St Albans","AL - St Albans",130104
"2011","B - Birmingham","B - Birmingham",860740
"2011","BA - Bath","BA - Bath",219209
"2011","BB - Blackburn","BB - Blackburn",209231
"2011","BD - Bradford","BD - Bradford",243449
"2011","BH - Bournemouth","BH - Bournemouth",252973
"2011","BL - Bolton","BL - Bolton",167248
"2011","BN - Brighton","BN - Brighton",347112
"2011","BR - Bromley","BR - Bromley",108979
"2011","BS - Bristol","BS - Bristol",478914
"2011","CA - Carlisle","CA - Carlisle",157872
"2011","CB - Cambridge","CB - Cambridge",229745
"2011","CH - Chester","CH - Chester",283937
"2011","CM - Chelmsford","CM - Chelmsford",291592
"2011","CO - Colchester","CO - Colchester",165604
"2011","CR - Croydon","CR - Croydon",140971
"2011","CT - Canterbury","CT - Canterbury",194327
"2011","CV - Coventry","CV - Coventry",392960
"2011","CW - Crewe","CW - Crewe",141041
"2011","DA - Dartford","DA - Dartford",164725
"2011","DE - Derby","DE - Derby",345662
"2011","DH - Durham","DH - Durham",127257
"2011","DL - Darlington","DL - Darlington",165521
"2011","DN - Doncaster","DN - Doncaster",331397
"2011","DT - Dorchester","DT - Dorchester",94340
"2011","DY - Dudley","DY - Dudley",161374
"2011","E - London E","E - London E",626933
"2011","EC - London EC","EC - London EC",318919
"2011","EN - Enfield","EN - Enfield",136263
"2011","EX - Exeter","EX - Exeter",263884
"2011","FY - Blackpool","FY - Blackpool",114109
"2011","GL - Gloucester","GL - Gloucester",300346
"2011","GU - Guildford","GU - Guildford",343533
"2011","HA - Harrow","HA - Harrow",165298
"2011","HD - Huddersfield","HD - Huddersfield",107856
"2011","HG - Harrogate","HG - Harrogate",72534
"2011","HP - Hemel Hempstead","HP - Hemel Hempstead",218877
"2011","HR - Hereford","HR - Hereford",86044
"2011","HU - Hull","HU - Hull",198851
"2011","HX - Halifax","HX - Halifax",77336
"2011","IG - Ilford","IG - Ilford",108276
"2011","IP - Ipswich","IP - Ipswich",286775
"2011","KT - Kingston upon Thames","KT - Kingston upon Thames",243669
"2011","L - Liverpool","L - Liverpool",383437
"2011","LA - Lancaster","LA - Lancaster",148087
"2011","LE - Leicester","LE - Leicester",461433
"2011","LN - Lincoln","LN - Lincoln",132702
"2011","LS - Leeds","LS - Leeds",421571
"2011","LU - Luton","LU - Luton",139187
"2011","M - Manchester","M - Manchester",594452
"2011","ME - Medway","ME - Medway",256764
"2011","MK - Milton Keynes","MK - Milton Keynes",257863
"2011","N - London N","N - London N",302785
"2011","NE - Newcastle upon Tyne","NE - Newcastle upon Tyne",541590
"2011","NG - Nottingham","NG - Nottingham",521047
"2011","NN - Northampton","NN - Northampton",314442
"2011","NR - Norwich","NR - Norwich",323234
"2011","NW - London NW","NW - London NW",270225
"2011","OL - Oldham","OL - Oldham",185720
"2011","OX - Oxford","OX - Oxford",322846
"2011","PE - Peterborough","PE - Peterborough",404050
"2011","PL - Plymouth","PL - Plymouth",246125
"2011","PO - Portsmouth","PO - Portsmouth",371020
"2011","PR - Preston","PR - Preston",252594
"2011","RG - Reading","RG - Reading",413750
"2011","RH - Redhill","RH - Redhill",278014
"2011","RM - Romford","RM - Romford",180505
"2011","S - Sheffield","S - Sheffield",583156
"2011","SE - London SE","SE - London SE",442070
"2011","SG - Stevenage","SG - Stevenage",176657
"2011","SK - Stockport","SK - Stockport",263213
"2011","SL - Slough","SL - Slough",193276
"2011","SM - Sutton","SM - Sutton",76927
"2011","SN - Swindon","SN - Swindon",222247
"2011","SO - Southampton","SO - Southampton",327439
"2011","SP - Salisbury","SP - Salisbury",117585
"2011","SR - Sunderland","SR - Sunderland",98373
"2011","SS - Southend-on-Sea","SS - Southend-on-Sea",205041
"2011","ST - Stoke-on-Trent","ST - Stoke-on-Trent",285180
"2011","SW - London SW","SW - London SW",522414
"2011","SY - Shrewsbury","SY - Shrewsbury",161345
"2011","TA - Taunton","TA - Taunton",144368
"2011","TD - Galashiels","TD - Galashiels",7565
"2011","TF - Telford","TF - Telford",100895
"2011","TN - Tonbridge","TN - Tonbridge",288170
"2011","TQ - Torquay","TQ - Torquay",118854
"2011","TR - Truro","TR - Truro",136804
"2011","TS - Cleveland","TS - Cleveland",242485
"2011","TW - Twickenham","TW - Twickenham",230649
"2011","UB - Southall","UB - Southall",197461
"2011","W - London W","W - London W",549744
"2011","WA - Warrington","WA - Warrington",310765
"2011","WC - London WC","WC - London WC",203990
"2011","WD - Watford","WD - Watford",120931
"2011","WF - Wakefield","WF - Wakefield",218388
"2011","WN - Wigan","WN - Wigan",122779
"2011","WR - Worcester","WR - Worcester",137381
"2011","WS - Walsall","WS - Walsall",180791
"2011","WV - Wolverhampton","WV - Wolverhampton",161435
"2011","YO - York","YO - York",259128
"2011","CF - Cardiff","CF - Cardiff",447028
"2011","LD - Llandrindod Wells","LD - Llandrindod Wells",23408
"2011","LL - Llandudno","LL - Llandudno",229557
"2011","NP - Newport","NP - Newport",201195
"2011","SA - Swansea","SA - Swansea",306283
